term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
technology,0.00037747181491956617,-0.044977636032854304,0.034890081252064706,0.03470872228315756,0.03029287850268597,0.003804957024270542,-0.02030362731619194,0.016512534634615956,0.05585214107805535,-0.001959249622139642
world,0.029533940514905627,0.005659237228424485,0.03902951231775015,0.004443714147294386,-0.01813313809904643,0.004618558571212433,0.0031661126650714966,-0.017078516566849944,0.007557545538184884,0.015699844150275002
please,0.025157388832791408,-0.002259691095298555,0.01292091406810214,0.00971063954803629,0.009648354630816883,0.06351365724240644,0.004586962252654418,0.006179494141705705,-0.051277631538248304,-0.007937218291970114
today,-0.00886991571552217,0.00408382833728288,0.015072302245676319,0.009759323461443009,-0.006644418593578283,-0.004240163650382378,0.002745786085026153,0.021203485077305212,-0.010826261017300443,0.008267652338266287
sales,0.0419590629467435,-0.02897956057821971,0.008920817753659105,-0.01843242158259878,0.045936018522784006,0.026047117532152855,0.05151895917179787,-0.09587394299261838,0.03508273663018242,-0.05333111904359604
components,-0.0194714178175234,-0.04537818584062647,0.0045801627352689556,0.0221302170235346,-0.03307266123517594,-0.008627400128243859,-0.016988895700551454,0.02079285966195557,0.00867487095713626,-0.07103035764817744
use,0.054610006772702724,-0.027670031508011478,-0.0865526653834422,0.00232561617335747,-0.002610211756766845,-0.0008424490689691762,-0.021032574819448868,0.018626489088596335,-0.012826674447998086,0.03773725641827589
materials,-0.0022313939726941734,-0.0076364693088900315,-0.013020166991266596,-0.025542838043738747,-0.02355858026723942,-0.06456516157342718,-0.016568629724809714,0.003538611204016079,-0.06046486660059325,0.013739409639207908
email,0.013149856855821263,-0.007810764484337686,0.0010780593504116712,0.03182436713755443,0.033915555373804564,0.07251617661935822,0.028205402745731967,0.0533049430459822,-0.01797211678810945,0.00499094203357716
delivery,-0.022689479302214877,0.025463672370550174,0.0076182818436303645,0.011005495374754287,-0.0063267540381178045,-0.007119526748145626,-0.03343482912338688,0.0023163742996381576,0.0066952859316370406,-0.0005499892364957907
solutions,-0.02633702920234751,-0.03887920009749517,0.061790924827431495,0.06832737364062291,-0.023590476364103802,0.01240098406864034,-0.048221472344526284,-0.12000681072515623,0.08718005334070952,0.06595528865575746
com,0.10506384793388879,-0.08313834982372838,-0.05270930326974245,0.06852078586569388,0.1357901836452337,-0.04294225264906143,0.12241525109434964,0.09442277336005107,-0.008626442945844665,0.11955495036769662
system,-0.012392686830710894,-0.018103896633013043,0.04533357572170143,0.058809499583640235,0.010365711654322651,-0.020406510716141905,-0.00397883809830285,-0.07602413391023152,0.03165218123962138,0.009948938976812765
steel,0.043330684584038895,0.011493124261601454,-0.062475718307389926,-0.009116125065593006,-0.03205547104058987,-0.06363429578576928,0.010548251613427012,-0.039729845904355854,-0.04551859632054145,-0.0286361308720165
control,-0.006247114457095401,-0.017178632236291746,0.03375449690066671,0.03651257118139012,-0.030338934277786278,-0.02695756140711051,-0.01777798653513618,-0.06034477045214928,0.025936024905305458,-0.020022402626462377
inc,-0.03645004710890491,-0.014900040832916045,0.02857992029008609,0.01488905168365251,-0.18171404685773532,-0.001861344724778946,-0.09156300488474434,0.04449144754299686,-0.10337832467007513,-0.053044193144142826
order,-0.014118641521236605,-0.002847397331206172,-0.0028198827359978314,0.018576990168421216,-0.005195889659122349,0.021917386708614026,0.005268833543297657,-0.0291067593141926,-0.030642009648934543,-0.006469720818271314
engineering,-0.00368658785390575,-0.028036527440260035,0.03569133068693027,0.0236283403400872,-0.03390356559126017,0.0009840328401829745,-0.05542756327330356,-0.01190624062354323,0.061771526844690436,-0.006685061701145644
